merchant_id,fraud_rate,fraud_count,transaction_count
15950,1.0,2,2
65241,1.0,3,3
67075,1.0,1,1
11911,1.0,2,2
5763,1.0,1,1
67764,1.0,2,2
68657,1.0,1,1
38568,1.0,5,5
70899,1.0,1,1
72723,1.0,4,4
45399,1.0,1,1
73205,1.0,3,3
44927,1.0,11,11
21281,1.0,1,1
8787,1.0,1,1
73271,1.0,10,10
23531,1.0,1,1
73922,1.0,1,1
74211,1.0,2,2
38337,1.0,6,6
74450,1.0,1,1
15326,1.0,5,5
99644,1.0,1,1
75917,1.0,6,6
25932,1.0,4,4
4694,1.0,1,1
76239,1.0,1,1
77570,1.0,2,2
81795,1.0,6,6
83142,1.0,2,2
35917,1.0,2,2
8942,1.0,5,5
83982,1.0,1,1
25199,1.0,1,1
84902,1.0,1,1
9292,1.0,1,1
41354,1.0,3,3
18768,1.0,1,1
89943,1.0,5,5
91352,1.0,1,1
5252,1.0,1,1
11470,1.0,1,1
2842,1.0,1,1
92215,1.0,1,1
46609,1.0,2,2
11570,1.0,1,1
7535,1.0,1,1
94053,1.0,1,1
3109,1.0,1,1
13096,1.0,1,1
5533,1.0,2,2
96692,1.0,1,1
3531,1.0,2,2
48126,1.0,6,6
1017,1.0,1,1
1175,1.0,1,1
49710,1.0,1,1
1308,1.0,15,15
62613,1.0,1,1
52897,1.0,3,3
53816,1.0,1,1
54603,1.0,3,3
56977,1.0,1,1
59875,1.0,3,3
62194,1.0,1,1
62988,1.0,2,2
29214,0.9,10,10
49919,0.875,8,8
66876,0.875,8,8
77130,0.8666666666666667,15,15
4705,0.8636363636363636,22,22
18267,0.8571428571428571,7,7
36700,0.8333333333333334,6,6
4153,0.8333333333333334,6,6
55854,0.8181818181818182,11,11
56107,0.8,5,5
36617,0.8,5,5
65330,0.8,10,10
