user_id,fraud_rate,fraud_count,transaction_count
39334,1.0,1,1
45031,1.0,1,1
11065,1.0,4,4
86219,1.0,1,1
50699,1.0,1,1
5541,1.0,3,3
47604,1.0,2,2
19820,1.0,3,3
21233,1.0,2,2
38734,1.0,1,1
86411,1.0,5,5
99396,1.0,5,5
27555,1.0,4,4
87048,1.0,3,3
24543,1.0,2,2
16644,1.0,1,1
43913,1.0,1,1
8743,1.0,1,1
8761,1.0,1,1
3157,1.0,1,1
89064,1.0,1,1
90144,1.0,1,1
21702,1.0,2,2
900,1.0,1,1
90176,1.0,2,2
21768,1.0,6,6
16862,1.0,2,2
30874,1.0,4,4
92259,1.0,3,3
38890,1.0,1,1
92930,1.0,2,2
93156,1.0,2,2
37113,1.0,2,2
27779,1.0,2,2
26251,1.0,2,2
93679,1.0,1,1
11858,1.0,1,1
9600,1.0,2,2
93767,1.0,2,2
95694,1.0,1,1
96495,1.0,2,2
13793,1.0,1,1
6761,1.0,3,3
31867,1.0,1,1
35138,1.0,2,2
96576,1.0,1,1
43018,1.0,1,1
27987,1.0,1,1
43108,1.0,1,1
40493,1.0,3,3
19199,1.0,1,1
17507,1.0,1,1
50734,1.0,1,1
45420,1.0,1,1
44494,1.0,1,1
96972,1.0,1,1
23916,1.0,1,1
50643,1.0,4,4
4651,1.0,3,3
28218,1.0,5,5
96976,1.0,1,1
4744,1.0,1,1
40595,1.0,1,1
24027,1.0,1,1
97150,1.0,1,1
17807,1.0,4,4
12678,1.0,2,2
52129,1.0,2,2
97611,1.0,2,2
19440,1.0,1,1
7725,1.0,7,7
12756,1.0,1,1
17929,1.0,6,6
41281,1.0,1,1
44531,1.0,3,3
53850,1.0,3,3
55630,1.0,3,3
56139,1.0,2,2
57127,1.0,1,1
58709,1.0,1,1
58905,1.0,4,4
59418,1.0,1,1
60263,1.0,1,1
61047,1.0,1,1
61415,1.0,1,1
62888,1.0,1,1
63582,1.0,1,1
66643,1.0,1,1
66979,1.0,3,3
67845,1.0,1,1
68191,1.0,1,1
69466,1.0,2,2
69758,1.0,2,2
69973,1.0,1,1
70457,1.0,1,1
70465,1.0,1,1
70557,1.0,2,2
71424,1.0,5,5
73385,1.0,3,3
73867,1.0,1,1
74844,1.0,1,1
75710,1.0,10,10
75889,1.0,2,2
76422,1.0,2,2
76768,1.0,3,3
76819,1.0,4,4
77999,1.0,1,1
99876,1.0,1,1
79237,1.0,1,1
79462,1.0,1,1
79998,1.0,2,2
80769,1.0,1,1
81152,1.0,4,4
81164,1.0,2,2
81642,1.0,1,1
83258,1.0,3,3
83826,1.0,1,1
84071,1.0,1,1
85612,1.0,1,1
85897,1.0,1,1
96025,0.9285714285714286,14,14
78262,0.9230769230769231,13,13
79054,0.8823529411764706,17,17
91637,0.8636363636363636,22,22
11750,0.8064516129032258,31,31
27657,0.8,5,5
69588,0.8,5,5
